pv,upper,lower
SR01A-PC-Q1D-01:I,200.0,0.0
SR01A-PC-Q1D-01:SETI,200.0,0.0
SR01A-PC-SQUAD-01:I,5.0,-5.0
SR01A-PC-SQUAD-01:SETI,5.0,-5.0
SR01A-PC-HSTR-01:I,5.0,-5.0
SR01A-PC-HSTR-01:SETI,5.0,-5.0
SR01A-PC-S1D-01:I,100.0,-100.0
SR01A-PC-S1D-01:SETI,100.0,-100.0
SR01A-PC-VSTR-01:I,5.0,-5.0
SR01A-PC-VSTR-01:SETI,5.0,-5.0
SR01A-PC-Q2D-02:I,200.0,0.0
SR01A-PC-Q2D-02:SETI,200.0,0.0
SR01A-PC-Q3D-03:I,200.0,0.0
SR01A-PC-Q3D-03:SETI,200.0,0.0
SR01A-PC-HSTR-02:I,5.0,-5.0
SR01A-PC-HSTR-02:SETI,5.0,-5.0
SR01A-PC-S2D-02:I,100.0,-100.0
SR01A-PC-S2D-02:SETI,100.0,-100.0
SR01A-PC-VSTR-02:I,5.0,-5.0
SR01A-PC-VSTR-02:SETI,5.0,-5.0
SR-PC-DIPOL-01:I,1400.0,10.0
SR-PC-DIPOL-01:SETI,1400.0,10.0
SR01A-PC-Q2AD-04:I,200.0,0.0
SR01A-PC-Q2AD-04:SETI,200.0,0.0
SR01A-PC-SQUAD-02:I,5.0,-5.0
SR01A-PC-SQUAD-02:SETI,5.0,-5.0
SR01A-PC-HSTR-03:I,5.0,-5.0
SR01A-PC-HSTR-03:SETI,5.0,-5.0
SR01A-PC-S2A-03:I,100.0,0.0
SR01A-PC-S2A-03:SETI,100.0,0.0
SR01A-PC-VSTR-03:I,5.0,-5.0
SR01A-PC-VSTR-03:SETI,5.0,-5.0
SR01A-PC-Q1AD-05:I,200.0,0.0
SR01A-PC-Q1AD-05:SETI,200.0,0.0
SR01A-PC-HSTR-04:I,5.0,-5.0
SR01A-PC-HSTR-04:SETI,5.0,-5.0
SR01A-PC-S1A-04:I,110.0,0.0
SR01A-PC-S1A-04:SETI,110.0,0.0
SR01A-PC-VSTR-04:I,5.0,-5.0
SR01A-PC-VSTR-04:SETI,5.0,-5.0
SR01A-PC-Q1AB-06:I,200.0,0.0
SR01A-PC-Q1AB-06:SETI,200.0,0.0
SR01A-PC-SQUAD-03:I,5.0,-5.0
SR01A-PC-SQUAD-03:SETI,5.0,-5.0
SR01A-PC-HSTR-05:I,5.0,-5.0
SR01A-PC-HSTR-05:SETI,5.0,-5.0
SR01A-PC-S2A-05:I,100.0,0.0
SR01A-PC-S2A-05:SETI,100.0,0.0
SR01A-PC-VSTR-05:I,5.0,-5.0
SR01A-PC-VSTR-05:SETI,5.0,-5.0
SR01A-PC-Q2AB-07:I,200.0,0.0
SR01A-PC-Q2AB-07:SETI,200.0,0.0
SR-PC-DIPOL-01:I,1400.0,10.0
SR-PC-DIPOL-01:SETI,1400.0,10.0
SR01A-PC-HSTR-06:I,5.0,-5.0
SR01A-PC-HSTR-06:SETI,5.0,-5.0
SR01A-PC-S2C-06:I,100.0,-100.0
SR01A-PC-S2C-06:SETI,100.0,-100.0
SR01A-PC-VSTR-06:I,5.0,-5.0
SR01A-PC-VSTR-06:SETI,5.0,-5.0
SR01A-PC-Q3B-08:I,200.0,0.0
SR01A-PC-Q3B-08:SETI,200.0,0.0
SR01A-PC-Q2B-09:I,200.0,0.0
SR01A-PC-Q2B-09:SETI,200.0,0.0
SR01A-PC-SQUAD-04:I,5.0,-5.0
SR01A-PC-SQUAD-04:SETI,5.0,-5.0
SR01A-PC-HSTR-07:I,5.0,-5.0
SR01A-PC-HSTR-07:SETI,5.0,-5.0
SR01A-PC-S1C-07:I,100.0,-100.0
SR01A-PC-S1C-07:SETI,100.0,-100.0
SR01A-PC-VSTR-07:I,5.0,-5.0
SR01A-PC-VSTR-07:SETI,5.0,-5.0
SR01A-PC-Q1B-10:I,200.0,0.0
SR01A-PC-Q1B-10:SETI,200.0,0.0
SR02A-PC-Q1BE-01:I,200.0,0.0
SR02A-PC-Q1BE-01:SETI,200.0,0.0
SR02A-PC-SQUAD-01:I,5.0,-5.0
SR02A-PC-SQUAD-01:SETI,5.0,-5.0
SR02A-PC-HSTR-01:I,5.0,-5.0
SR02A-PC-HSTR-01:SETI,5.0,-5.0
SR02A-PC-S1BE-01:I,100.0,-100.0
SR02A-PC-S1BE-01:SETI,100.0,-100.0
SR02A-PC-VSTR-01:I,5.0,-5.0
SR02A-PC-VSTR-01:SETI,5.0,-5.0
SR02A-PC-Q2BE-02:I,200.0,0.0
SR02A-PC-Q2BE-02:SETI,200.0,0.0
SR02A-PC-S2BE-02:I,100.0,-100.0
SR02A-PC-S2BE-02:SETI,100.0,-100.0
SR-PC-DIPOL-01:I,1400.0,10.0
SR-PC-DIPOL-01:SETI,1400.0,10.0
SR02A-PC-S3E-03:I,100.0,0.0
SR02A-PC-S3E-03:SETI,100.0,0.0
SR02A-PC-Q3E-03:I,200.0,0.0
SR02A-PC-Q3E-03:SETI,200.0,0.0
SR02A-PC-SQUAD-02:I,5.0,-5.0
SR02A-PC-SQUAD-02:SETI,5.0,-5.0
SR02A-PC-HSTR-04:I,5.0,-5.0
SR02A-PC-HSTR-04:SETI,5.0,-5.0
SR02A-PC-S4E-04:I,100.0,0.0
SR02A-PC-S4E-04:SETI,100.0,0.0
SR02A-PC-VSTR-04:I,5.0,-5.0
SR02A-PC-VSTR-04:SETI,5.0,-5.0
SR02A-PC-Q3E-04:I,200.0,0.0
SR02A-PC-Q3E-04:SETI,200.0,0.0
SR02A-PC-SQUAD-03:I,5.0,-5.0
SR02A-PC-SQUAD-03:SETI,5.0,-5.0
SR02A-PC-HSTR-05:I,5.0,-5.0
SR02A-PC-HSTR-05:SETI,5.0,-5.0
SR02A-PC-S3E-05:I,100.0,0.0
SR02A-PC-S3E-05:SETI,100.0,0.0
SR02A-PC-VSTR-05:I,5.0,-5.0
SR02A-PC-VSTR-05:SETI,5.0,-5.0
SR-PC-DIPOL-01:I,1400.0,10.0
SR-PC-DIPOL-01:SETI,1400.0,10.0
SR02A-PC-HSCOR-01:I,4.0,-4.0
SR02A-PC-HSCOR-01:SETI,4.0,-4.0
SR02A-PC-VSCOR-01:I,5.0,-5.0
SR02A-PC-VSCOR-01:SETI,5.0,-5.0
SR02A-PC-Q4E-05:I,200.0,0.0
SR02A-PC-Q4E-05:SETI,200.0,0.0
SR02A-PC-Q4E-06:I,200.0,0.0
SR02A-PC-Q4E-06:SETI,200.0,0.0
SR02A-PC-HSCOR-02:I,4.0,-4.0
SR02A-PC-HSCOR-02:SETI,4.0,-4.0
SR02A-PC-VSCOR-02:I,4.0,-4.0
SR02A-PC-VSCOR-02:SETI,4.0,-4.0
SR-PC-DIPOL-01:I,1400.0,10.0
SR-PC-DIPOL-01:SETI,1400.0,10.0
SR02A-PC-S3E-06:I,100.0,-100.0
SR02A-PC-S3E-06:SETI,100.0,-100.0
SR02A-PC-Q3E-07:I,200.0,0.0
SR02A-PC-Q3E-07:SETI,200.0,0.0
SR02A-PC-SQUAD-04:I,5.0,-5.0
SR02A-PC-SQUAD-04:SETI,5.0,-5.0
SR02A-PC-HSTR-07:I,5.0,-5.0
SR02A-PC-HSTR-07:SETI,5.0,-5.0
SR02A-PC-S4E-07:I,100.0,-100.0
SR02A-PC-S4E-07:SETI,100.0,-100.0
SR02A-PC-VSTR-07:I,5.0,-5.0
SR02A-PC-VSTR-07:SETI,5.0,-5.0
SR02A-PC-Q3E-08:I,200.0,0.0
SR02A-PC-Q3E-08:SETI,200.0,0.0
SR02A-PC-SQUAD-05:I,5.0,-5.0
SR02A-PC-SQUAD-05:SETI,5.0,-5.0
SR02A-PC-HSTR-08:I,5.0,-5.0
SR02A-PC-HSTR-08:SETI,5.0,-5.0
SR02A-PC-S3E-08:I,100.0,0.0
SR02A-PC-S3E-08:SETI,100.0,0.0
SR02A-PC-VSTR-08:I,5.0,-5.0
SR02A-PC-VSTR-08:SETI,5.0,-5.0
SR-PC-DIPOL-01:I,1400.0,10.0
SR-PC-DIPOL-01:SETI,1400.0,10.0
SR02A-PC-S2BE-09:I,100.0,0.0
SR02A-PC-S2BE-09:SETI,100.0,0.0
SR02A-PC-Q2BE-09:I,200.0,0.0
SR02A-PC-Q2BE-09:SETI,200.0,0.0
SR02A-PC-SQUAD-06:I,5.0,-5.0
SR02A-PC-SQUAD-06:SETI,5.0,-5.0
SR02A-PC-HSTR-10:I,5.0,-5.0
SR02A-PC-HSTR-10:SETI,5.0,-5.0
SR02A-PC-S1BE-10:I,100.0,0.0
SR02A-PC-S1BE-10:SETI,100.0,0.0
SR02A-PC-VSTR-10:I,5.0,-5.0
SR02A-PC-VSTR-10:SETI,5.0,-5.0
SR02A-PC-Q1BE-10:I,200.0,0.0
SR02A-PC-Q1BE-10:SETI,200.0,0.0
SR03A-PC-Q1B-01:I,200.0,0.0
SR03A-PC-Q1B-01:SETI,200.0,0.0
SR03A-PC-SQUAD-01:I,5.0,-5.0
SR03A-PC-SQUAD-01:SETI,5.0,-5.0
SR03A-PC-HSTR-01:I,5.0,-5.0
SR03A-PC-HSTR-01:SETI,5.0,-5.0
SR03A-PC-S1B-01:I,100.0,-100.0
SR03A-PC-S1B-01:SETI,100.0,-100.0
SR03A-PC-VSTR-01:I,5.0,-5.0
SR03A-PC-VSTR-01:SETI,5.0,-5.0
SR03A-PC-Q2B-02:I,200.0,0.0
SR03A-PC-Q2B-02:SETI,200.0,0.0
SR03A-PC-Q3B-03:I,200.0,0.0
SR03A-PC-Q3B-03:SETI,200.0,0.0
SR03A-PC-HSTR-02:I,5.0,-5.0
SR03A-PC-HSTR-02:SETI,5.0,-5.0
SR03A-PC-S2B-02:I,100.0,-100.0
SR03A-PC-S2B-02:SETI,100.0,-100.0
SR03A-PC-VSTR-02:I,5.0,-5.0
SR03A-PC-VSTR-02:SETI,5.0,-5.0
SR-PC-DIPOL-01:I,1400.0,10.0
SR-PC-DIPOL-01:SETI,1400.0,10.0
SR03A-PC-Q2AB-04:I,200.0,0.0
SR03A-PC-Q2AB-04:SETI,200.0,0.0
SR03A-PC-SQUAD-02:I,5.0,-5.0
SR03A-PC-SQUAD-02:SETI,5.0,-5.0
SR03A-PC-HSTR-03:I,5.0,-5.0
SR03A-PC-HSTR-03:SETI,5.0,-5.0
SR03A-PC-S2A-03:I,100.0,0.0
SR03A-PC-S2A-03:SETI,100.0,0.0
SR03A-PC-VSTR-03:I,5.0,-5.0
SR03A-PC-VSTR-03:SETI,5.0,-5.0
SR03A-PC-Q1AB-05:I,200.0,0.0
SR03A-PC-Q1AB-05:SETI,200.0,0.0
SR03A-PC-HSTR-04:I,5.0,-5.0
SR03A-PC-HSTR-04:SETI,5.0,-5.0
SR03A-PC-S1A-04:I,110.0,0.0
SR03A-PC-S1A-04:SETI,110.0,0.0
SR03A-PC-VSTR-04:I,5.0,-5.0
SR03A-PC-VSTR-04:SETI,5.0,-5.0
SR03A-PC-Q1AB-06:I,200.0,0.0
SR03A-PC-Q1AB-06:SETI,200.0,0.0
SR03A-PC-SQUAD-03:I,5.0,-5.0
SR03A-PC-SQUAD-03:SETI,5.0,-5.0
SR03A-PC-HSTR-05:I,5.0,-5.0
SR03A-PC-HSTR-05:SETI,5.0,-5.0
SR03A-PC-S2A-05:I,100.0,0.0
SR03A-PC-S2A-05:SETI,100.0,0.0
SR03A-PC-VSTR-05:I,5.0,-5.0
SR03A-PC-VSTR-05:SETI,5.0,-5.0
SR03A-PC-Q2AB-07:I,200.0,0.0
SR03A-PC-Q2AB-07:SETI,200.0,0.0
SR-PC-DIPOL-01:I,1400.0,10.0
SR-PC-DIPOL-01:SETI,1400.0,10.0
SR03A-PC-HSTR-06:I,5.0,-5.0
SR03A-PC-HSTR-06:SETI,5.0,-5.0
SR03A-PC-S2B-06:I,100.0,-100.0
SR03A-PC-S2B-06:SETI,100.0,-100.0
SR03A-PC-VSTR-06:I,5.0,-5.0
SR03A-PC-VSTR-06:SETI,5.0,-5.0
SR03A-PC-Q3B-08:I,200.0,0.0
SR03A-PC-Q3B-08:SETI,200.0,0.0
SR03A-PC-Q2B-09:I,200.0,0.0
SR03A-PC-Q2B-09:SETI,200.0,0.0
SR03A-PC-SQUAD-04:I,5.0,-5.0
SR03A-PC-SQUAD-04:SETI,5.0,-5.0
SR03A-PC-HSTR-07:I,5.0,-5.0
SR03A-PC-HSTR-07:SETI,5.0,-5.0
SR03A-PC-S1B-07:I,100.0,-100.0
SR03A-PC-S1B-07:SETI,100.0,-100.0
SR03A-PC-VSTR-07:I,5.0,-5.0
SR03A-PC-VSTR-07:SETI,5.0,-5.0
SR03A-PC-Q1B-10:I,200.0,0.0
SR03A-PC-Q1B-10:SETI,200.0,0.0
SR04A-PC-Q1B-01:I,200.0,0.0
SR04A-PC-Q1B-01:SETI,200.0,0.0
SR04A-PC-SQUAD-01:I,5.0,-5.0
SR04A-PC-SQUAD-01:SETI,5.0,-5.0
SR04A-PC-HSTR-01:I,5.0,-5.0
SR04A-PC-HSTR-01:SETI,5.0,-5.0
SR04A-PC-S1C-01:I,100.0,-100.0
SR04A-PC-S1C-01:SETI,100.0,-100.0
SR04A-PC-VSTR-01:I,5.0,-5.0
SR04A-PC-VSTR-01:SETI,5.0,-5.0
SR04A-PC-Q2B-02:I,200.0,0.0
SR04A-PC-Q2B-02:SETI,200.0,0.0
SR04A-PC-Q3B-03:I,200.0,0.0
SR04A-PC-Q3B-03:SETI,200.0,0.0
SR04A-PC-HSTR-02:I,5.0,-5.0
SR04A-PC-HSTR-02:SETI,5.0,-5.0
SR04A-PC-S2C-02:I,100.0,-100.0
SR04A-PC-S2C-02:SETI,100.0,-100.0
SR04A-PC-VSTR-02:I,5.0,-5.0
SR04A-PC-VSTR-02:SETI,5.0,-5.0
SR-PC-DIPOL-01:I,1400.0,10.0
SR-PC-DIPOL-01:SETI,1400.0,10.0
SR04A-PC-Q2AB-04:I,200.0,0.0
SR04A-PC-Q2AB-04:SETI,200.0,0.0
SR04A-PC-SQUAD-02:I,5.0,-5.0
SR04A-PC-SQUAD-02:SETI,5.0,-5.0
SR04A-PC-HSTR-03:I,5.0,-5.0
SR04A-PC-HSTR-03:SETI,5.0,-5.0
SR04A-PC-S2A-03:I,100.0,0.0
SR04A-PC-S2A-03:SETI,100.0,0.0
SR04A-PC-VSTR-03:I,5.0,-5.0
SR04A-PC-VSTR-03:SETI,5.0,-5.0
SR04A-PC-Q1AB-05:I,200.0,0.0
SR04A-PC-Q1AB-05:SETI,200.0,0.0
SR04A-PC-HSTR-04:I,5.0,-5.0
SR04A-PC-HSTR-04:SETI,5.0,-5.0
SR04A-PC-S1A-04:I,110.0,0.0
SR04A-PC-S1A-04:SETI,110.0,0.0
SR04A-PC-VSTR-04:I,5.0,-5.0
SR04A-PC-VSTR-04:SETI,5.0,-5.0
SR04A-PC-Q1AD-06:I,200.0,0.0
SR04A-PC-Q1AD-06:SETI,200.0,0.0
SR04A-PC-SQUAD-03:I,5.0,-5.0
SR04A-PC-SQUAD-03:SETI,5.0,-5.0
SR04A-PC-HSTR-05:I,5.0,-5.0
SR04A-PC-HSTR-05:SETI,5.0,-5.0
SR04A-PC-S2A-05:I,100.0,0.0
SR04A-PC-S2A-05:SETI,100.0,0.0
SR04A-PC-VSTR-05:I,5.0,-5.0
SR04A-PC-VSTR-05:SETI,5.0,-5.0
SR04A-PC-Q2AD-07:I,200.0,0.0
SR04A-PC-Q2AD-07:SETI,200.0,0.0
SR-PC-DIPOL-01:I,1400.0,10.0
SR-PC-DIPOL-01:SETI,1400.0,10.0
SR04A-PC-HSTR-06:I,5.0,-5.0
SR04A-PC-HSTR-06:SETI,5.0,-5.0
SR04A-PC-S2D-06:I,100.0,-100.0
SR04A-PC-S2D-06:SETI,100.0,-100.0
SR04A-PC-VSTR-06:I,5.0,-5.0
SR04A-PC-VSTR-06:SETI,5.0,-5.0
SR04A-PC-Q3D-08:I,200.0,0.0
SR04A-PC-Q3D-08:SETI,200.0,0.0
SR04A-PC-Q2D-09:I,200.0,0.0
SR04A-PC-Q2D-09:SETI,200.0,0.0
SR04A-PC-SQUAD-04:I,5.0,-5.0
SR04A-PC-SQUAD-04:SETI,5.0,-5.0
SR04A-PC-HSTR-07:I,5.0,-5.0
SR04A-PC-HSTR-07:SETI,5.0,-5.0
SR04A-PC-S1D-07:I,100.0,-100.0
SR04A-PC-S1D-07:SETI,100.0,-100.0
SR04A-PC-VSTR-07:I,5.0,-5.0
SR04A-PC-VSTR-07:SETI,5.0,-5.0
SR04A-PC-Q1D-10:I,200.0,0.0
SR04A-PC-Q1D-10:SETI,200.0,0.0
SR05A-PC-Q1D-01:I,200.0,0.0
SR05A-PC-Q1D-01:SETI,200.0,0.0
SR05A-PC-SQUAD-01:I,5.0,-5.0
SR05A-PC-SQUAD-01:SETI,5.0,-5.0
SR05A-PC-HSTR-01:I,5.0,-5.0
SR05A-PC-HSTR-01:SETI,5.0,-5.0
SR05A-PC-S1D-01:I,100.0,-100.0
SR05A-PC-S1D-01:SETI,100.0,-100.0
SR05A-PC-VSTR-01:I,5.0,-5.0
SR05A-PC-VSTR-01:SETI,5.0,-5.0
SR05A-PC-Q2D-02:I,200.0,0.0
SR05A-PC-Q2D-02:SETI,200.0,0.0
SR05A-PC-Q3D-03:I,200.0,0.0
SR05A-PC-Q3D-03:SETI,200.0,0.0
SR05A-PC-HSTR-02:I,5.0,-5.0
SR05A-PC-HSTR-02:SETI,5.0,-5.0
SR05A-PC-S2D-02:I,100.0,-100.0
SR05A-PC-S2D-02:SETI,100.0,-100.0
SR05A-PC-VSTR-02:I,5.0,-5.0
SR05A-PC-VSTR-02:SETI,5.0,-5.0
SR-PC-DIPOL-01:I,1400.0,10.0
SR-PC-DIPOL-01:SETI,1400.0,10.0
SR05A-PC-Q2AD-04:I,200.0,0.0
SR05A-PC-Q2AD-04:SETI,200.0,0.0
SR05A-PC-SQUAD-02:I,5.0,-5.0
SR05A-PC-SQUAD-02:SETI,5.0,-5.0
SR05A-PC-HSTR-03:I,5.0,-5.0
SR05A-PC-HSTR-03:SETI,5.0,-5.0
SR05A-PC-S2A-03:I,100.0,0.0
SR05A-PC-S2A-03:SETI,100.0,0.0
SR05A-PC-VSTR-03:I,5.0,-5.0
SR05A-PC-VSTR-03:SETI,5.0,-5.0
SR05A-PC-Q1AD-05:I,200.0,0.0
SR05A-PC-Q1AD-05:SETI,200.0,0.0
SR05A-PC-HSTR-04:I,5.0,-5.0
SR05A-PC-HSTR-04:SETI,5.0,-5.0
SR05A-PC-S1A-04:I,110.0,0.0
SR05A-PC-S1A-04:SETI,110.0,0.0
SR05A-PC-VSTR-04:I,5.0,-5.0
SR05A-PC-VSTR-04:SETI,5.0,-5.0
SR05A-PC-Q1AB-06:I,200.0,0.0
SR05A-PC-Q1AB-06:SETI,200.0,0.0
SR05A-PC-SQUAD-03:I,5.0,-5.0
SR05A-PC-SQUAD-03:SETI,5.0,-5.0
SR05A-PC-HSTR-05:I,5.0,-5.0
SR05A-PC-HSTR-05:SETI,5.0,-5.0
SR05A-PC-S2A-05:I,100.0,0.0
SR05A-PC-S2A-05:SETI,100.0,0.0
SR05A-PC-VSTR-05:I,5.0,-5.0
SR05A-PC-VSTR-05:SETI,5.0,-5.0
SR05A-PC-Q2AB-07:I,200.0,0.0
SR05A-PC-Q2AB-07:SETI,200.0,0.0
SR-PC-DIPOL-01:I,1400.0,10.0
SR-PC-DIPOL-01:SETI,1400.0,10.0
SR05A-PC-HSTR-06:I,5.0,-5.0
SR05A-PC-HSTR-06:SETI,5.0,-5.0
SR05A-PC-S2C-06:I,100.0,-100.0
SR05A-PC-S2C-06:SETI,100.0,-100.0
SR05A-PC-VSTR-06:I,5.0,-5.0
SR05A-PC-VSTR-06:SETI,5.0,-5.0
SR05A-PC-Q3B-08:I,200.0,0.0
SR05A-PC-Q3B-08:SETI,200.0,0.0
SR05A-PC-Q2B-09:I,200.0,0.0
SR05A-PC-Q2B-09:SETI,200.0,0.0
SR05A-PC-SQUAD-04:I,5.0,-5.0
SR05A-PC-SQUAD-04:SETI,5.0,-5.0
SR05A-PC-HSTR-07:I,5.0,-5.0
SR05A-PC-HSTR-07:SETI,5.0,-5.0
SR05A-PC-S1C-07:I,100.0,-100.0
SR05A-PC-S1C-07:SETI,100.0,-100.0
SR05A-PC-VSTR-07:I,5.0,-5.0
SR05A-PC-VSTR-07:SETI,5.0,-5.0
SR05A-PC-Q1B-10:I,200.0,0.0
SR05A-PC-Q1B-10:SETI,200.0,0.0
SR06A-PC-Q1B-01:I,200.0,0.0
SR06A-PC-Q1B-01:SETI,200.0,0.0
SR06A-PC-SQUAD-01:I,5.0,-5.0
SR06A-PC-SQUAD-01:SETI,5.0,-5.0
SR06A-PC-HSTR-01:I,5.0,-5.0
SR06A-PC-HSTR-01:SETI,5.0,-5.0
SR06A-PC-S1B-01:I,100.0,-100.0
SR06A-PC-S1B-01:SETI,100.0,-100.0
SR06A-PC-VSTR-01:I,5.0,-5.0
SR06A-PC-VSTR-01:SETI,5.0,-5.0
SR06A-PC-Q2B-02:I,200.0,0.0
SR06A-PC-Q2B-02:SETI,200.0,0.0
SR06A-PC-Q3B-03:I,200.0,0.0
SR06A-PC-Q3B-03:SETI,200.0,0.0
SR06A-PC-HSTR-02:I,5.0,-5.0
SR06A-PC-HSTR-02:SETI,5.0,-5.0
SR06A-PC-S2B-02:I,100.0,-100.0
SR06A-PC-S2B-02:SETI,100.0,-100.0
SR06A-PC-VSTR-02:I,5.0,-5.0
SR06A-PC-VSTR-02:SETI,5.0,-5.0
SR-PC-DIPOL-01:I,1400.0,10.0
SR-PC-DIPOL-01:SETI,1400.0,10.0
SR06A-PC-Q2AB-04:I,200.0,0.0
SR06A-PC-Q2AB-04:SETI,200.0,0.0
SR06A-PC-SQUAD-02:I,5.0,-5.0
SR06A-PC-SQUAD-02:SETI,5.0,-5.0
SR06A-PC-HSTR-03:I,5.0,-5.0
SR06A-PC-HSTR-03:SETI,5.0,-5.0
SR06A-PC-S2A-03:I,100.0,0.0
SR06A-PC-S2A-03:SETI,100.0,0.0
SR06A-PC-VSTR-03:I,5.0,-5.0
SR06A-PC-VSTR-03:SETI,5.0,-5.0
SR06A-PC-Q1AB-05:I,200.0,0.0
SR06A-PC-Q1AB-05:SETI,200.0,0.0
SR06A-PC-HSTR-04:I,5.0,-5.0
SR06A-PC-HSTR-04:SETI,5.0,-5.0
SR06A-PC-S1A-04:I,110.0,0.0
SR06A-PC-S1A-04:SETI,110.0,0.0
SR06A-PC-VSTR-04:I,5.0,-5.0
SR06A-PC-VSTR-04:SETI,5.0,-5.0
SR06A-PC-Q1AB-06:I,200.0,0.0
SR06A-PC-Q1AB-06:SETI,200.0,0.0
SR06A-PC-SQUAD-03:I,5.0,-5.0
SR06A-PC-SQUAD-03:SETI,5.0,-5.0
SR06A-PC-HSTR-05:I,5.0,-5.0
SR06A-PC-HSTR-05:SETI,5.0,-5.0
SR06A-PC-S2A-05:I,100.0,0.0
SR06A-PC-S2A-05:SETI,100.0,0.0
SR06A-PC-VSTR-05:I,5.0,-5.0
SR06A-PC-VSTR-05:SETI,5.0,-5.0
SR06A-PC-Q2AB-07:I,200.0,0.0
SR06A-PC-Q2AB-07:SETI,200.0,0.0
SR-PC-DIPOL-01:I,1400.0,10.0
SR-PC-DIPOL-01:SETI,1400.0,10.0
SR06A-PC-HSTR-06:I,5.0,-5.0
SR06A-PC-HSTR-06:SETI,5.0,-5.0
SR06A-PC-S2B-06:I,100.0,-100.0
SR06A-PC-S2B-06:SETI,100.0,-100.0
SR06A-PC-VSTR-06:I,5.0,-5.0
SR06A-PC-VSTR-06:SETI,5.0,-5.0
SR06A-PC-Q3B-08:I,200.0,0.0
SR06A-PC-Q3B-08:SETI,200.0,0.0
SR06A-PC-Q2B-09:I,200.0,0.0
SR06A-PC-Q2B-09:SETI,200.0,0.0
SR06A-PC-SQUAD-04:I,5.0,-5.0
SR06A-PC-SQUAD-04:SETI,5.0,-5.0
SR06A-PC-HSTR-07:I,5.0,-5.0
